trial star/dMass star/dRadius b/dMass b/dRadius b/dEcc b/dOrbPeriod b/dTidalQ c/dMass c/dRadius c/dEcc c/dOrbPeriod c/dTidalQ d/dMass d/dRadius d/dEcc d/dOrbPeriod d/dTidalQ 
rand_00 0.140616 -20.309587 -2.184158 -1.197210 0.019691 -0.974922 504.116035 -6.798813 -2.492813 0.054831 -5.094823 10362.406775 -0.540565 -1.045956 0.220873 -2.738217 169.906112 
rand_01 0.141010 -21.108369 -2.415280 -1.175320 0.134241 -0.955295 632.095253 -6.459994 -2.348428 0.035738 -5.050316 34435.204571 -0.941203 -1.065704 0.000551 -2.773828 288.493681 
rand_02 0.134301 -19.086287 -2.485954 -1.272042 0.200381 -0.975128 365.073887 -6.361204 -2.395526 0.074341 -5.065983 87449.038765 -0.992537 -1.004861 0.182975 -2.741316 962.320701 
rand_03 0.135380 -20.526248 -2.011406 -1.288100 0.208065 -0.934890 593.372729 -6.751478 -2.553543 0.040512 -5.120280 89348.497490 -1.423916 -0.985735 0.182068 -2.767502 115.495922 
rand_04 0.148588 -18.124484 -1.968024 -1.349360 0.368337 -0.994225 429.880824 -8.127438 -2.497395 0.066430 -5.058073 72391.272393 -1.347300 -1.068349 0.183430 -2.781587 181.677186 
rand_05 0.138942 -20.786044 -2.594939 -1.258333 0.148034 -0.959966 977.742853 -8.217680 -2.394706 0.090658 -5.188846 80281.906581 -1.052297 -0.971447 0.025747 -2.736240 181.074517 
rand_06 0.143787 -21.639524 -2.167748 -1.122192 0.152778 -0.977894 543.703180 -8.245502 -2.493315 0.040125 -5.194512 56224.391185 -0.509770 -1.079678 0.100930 -2.793759 946.829251 
rand_07 0.140220 -20.919933 -2.018562 -1.091378 0.157494 -0.976611 617.996763 -7.312039 -2.413926 0.091440 -5.092338 40990.338361 -0.294726 -1.033521 0.030738 -2.779044 956.265226 
rand_08 0.140155 -20.968752 -1.722480 -1.337657 0.134456 -0.951602 867.530968 -6.831130 -2.501807 0.057444 -5.115116 98561.925630 -0.922915 -1.045532 0.173921 -2.819358 844.131642 
rand_09 0.145458 -20.036393 -2.112042 -1.279722 0.171935 -0.962139 627.138643 -6.425582 -2.315538 0.246531 -5.011534 7694.070764 -0.118255 -1.002820 0.118847 -2.784780 591.271429 
