trial star/dMass star/dRadius b/dMass b/dRadius b/dOrbPeriod b/dEcc b/dInc b/dLongA b/dLongP c/dMass c/dRadius c/dOrbPeriod c/dEcc c/dInc c/dLongA c/dLongP d/dMass d/dRadius d/dOrbPeriod d/dEcc d/dInc d/dLongA d/dLongP 
rand_00 0.142877 -19.340708 -2.050149 -1.192540 -0.947997 0.013626 1.840009 76.575646 140.064989 -7.302004 -2.407122 -4.989910 0.028729 0.299750 322.229834 269.113989 -0.946687 -1.045085 -2.753439 0.018452 2.206379 318.435979 170.347264 
rand_01 0.145494 -19.391007 -1.338639 -1.258289 -0.948000 0.002043 0.541211 112.543017 253.723970 -6.347448 -2.511481 -4.989910 0.025539 0.225294 161.848203 331.597724 -0.485808 -1.059647 -2.753423 0.011266 1.946240 328.374011 224.996954 
rand_02 0.146592 -21.032251 -1.534064 -1.247494 -0.947999 0.008168 1.827637 223.030506 236.056346 -7.284178 -2.558117 -4.989913 0.010990 0.045529 284.890151 195.785746 -1.482230 -1.059830 -2.753434 0.019552 0.723016 222.089178 263.636879 
rand_03 0.146424 -20.155116 -1.964706 -1.186293 -0.947996 0.000552 1.457327 290.251873 148.401286 -6.696528 -2.303998 -4.989903 0.002522 0.114538 252.326501 32.837710 -0.972197 -1.005843 -2.753450 0.016637 1.642893 24.318859 308.922794 
rand_04 0.127003 -19.958412 -2.214798 -1.279064 -0.947995 0.019156 2.955987 101.180086 55.877426 -8.111891 -2.534570 -4.989913 0.006553 0.478572 77.430525 134.692163 -1.078912 -1.004815 -2.753435 0.029701 1.534759 326.835150 276.980059 
rand_05 0.140271 -19.928352 -1.710845 -1.141137 -0.948002 0.000508 0.663100 66.934028 335.960684 -6.778573 -2.531310 -4.989897 0.018246 0.251081 333.278124 33.660451 -1.034445 -1.063165 -2.753423 0.009191 0.031124 3.572754 268.912592 
rand_06 0.134474 -20.535281 -2.369526 -1.190907 -0.947999 0.010772 3.157075 326.048524 224.375460 -6.975370 -2.457986 -4.989922 0.001585 0.205162 52.920890 87.104120 -0.379160 -1.062405 -2.753411 0.003463 0.448901 67.496844 232.419461 
rand_07 0.138878 -18.521182 -2.029993 -1.153875 -0.948000 0.013851 2.224398 148.625074 10.239492 -8.347679 -2.453311 -4.989911 0.029980 0.243548 215.296893 206.339149 0.360704 -1.076714 -2.753443 0.004201 1.362777 43.061785 41.121059 
rand_08 0.141385 -19.775943 -2.052004 -1.198005 -0.948002 0.030332 2.791539 294.086891 1.493743 -7.118424 -2.466664 -4.989916 0.003264 0.036131 159.001209 145.698272 -1.148032 -0.942323 -2.753423 0.005854 0.625133 328.691741 66.785173 
rand_09 0.142751 -21.312510 -1.952513 -1.304130 -0.947997 0.017376 1.770895 3.332354 264.576917 -7.346517 -2.333825 -4.989914 0.009575 0.352766 148.917416 252.698833 0.358191 -1.059336 -2.753451 0.013732 2.161154 275.932515 28.273201 
rand_10 0.133874 -20.135400 -0.813627 -1.280291 -0.947997 0.016166 0.652509 225.379542 0.168736 -7.481016 -2.628511 -4.989907 0.016803 0.086711 189.696817 188.400210 -0.741368 -0.981626 -2.753437 0.016867 1.528793 191.539316 358.551488 
rand_11 0.132313 -18.962700 -1.538360 -1.135543 -0.947997 0.015873 1.137785 276.759341 18.721441 -6.450037 -2.417677 -4.989907 0.003287 0.174366 60.183599 259.352551 -1.051477 -1.052021 -2.753420 0.010701 0.932619 297.175957 110.760692 
rand_12 0.139164 -19.960849 -2.181641 -1.173231 -0.947996 0.005855 1.532700 305.967458 154.115706 -5.955511 -2.376614 -4.989918 0.007024 0.268893 28.327600 105.331315 -1.189892 -1.012574 -2.753456 0.012300 0.429722 209.123852 251.820953 
rand_13 0.140077 -21.888063 -2.343470 -1.077819 -0.947997 0.011243 0.516508 348.837380 313.905707 -7.457402 -2.489291 -4.989910 0.030702 0.307470 26.139520 169.825145 -1.349570 -1.099971 -2.753439 0.007553 0.507990 34.619588 33.813760 
rand_14 0.139176 -18.552441 -2.202922 -1.223319 -0.947998 0.003535 1.914718 180.253036 124.642309 -7.336079 -2.452370 -4.989908 0.015177 0.118181 130.858722 59.340021 -0.809148 -1.021714 -2.753430 0.004926 0.085922 16.216252 280.414428 
rand_15 0.138789 -19.035345 -1.225805 -1.096679 -0.947996 0.015387 2.256961 5.533511 7.295020 -6.392846 -2.372327 -4.989906 0.000919 0.352278 314.436438 18.299669 -0.410223 -1.061568 -2.753461 0.005796 1.528307 67.613423 335.166218 
rand_16 0.143294 -20.739423 -1.717432 -1.210313 -0.947995 0.002268 1.029683 196.922880 79.077945 -7.821171 -2.237716 -4.989900 0.022077 0.139335 296.133982 350.633637 -1.437716 -0.927910 -2.753422 0.013690 0.385785 185.720548 349.297489 
rand_17 0.135960 -19.585259 -1.546863 -1.151040 -0.947995 0.029902 1.658710 248.897018 140.447171 -8.051349 -2.488907 -4.989910 0.014287 0.196690 270.662611 197.048909 -0.318997 -1.064281 -2.753433 0.000420 0.032281 221.882848 87.927167 
rand_18 0.139826 -19.870878 -1.179857 -1.200774 -0.947997 0.009715 1.866782 354.217886 169.518665 -5.999292 -2.361741 -4.989916 0.009049 0.264465 196.956545 265.830112 -1.266254 -0.993582 -2.753422 0.024317 1.188463 278.451109 188.608320 
rand_19 0.138304 -19.649709 -1.648818 -1.246917 -0.947996 0.012774 0.982526 132.377215 214.633184 -7.868032 -2.398780 -4.989914 0.026541 0.204034 306.117273 352.403778 -0.755840 -0.995875 -2.753435 0.002951 0.782396 142.764174 333.434131 
rand_20 0.140589 -20.331164 -1.638198 -1.221419 -0.947996 0.026192 0.890021 262.608746 274.978918 -6.680376 -2.248463 -4.989907 0.018998 0.150877 133.254289 130.854323 -1.021612 -1.063809 -2.753437 0.008184 0.871404 193.726222 216.419728 
rand_21 0.146126 -20.548639 -1.993928 -1.258942 -0.947999 0.021448 2.763285 357.950049 87.783287 -6.586965 -2.432514 -4.989905 0.003478 0.013910 107.676602 142.570607 -0.949249 -1.048336 -2.753422 0.008244 1.896782 216.830001 271.615105 
rand_22 0.142402 -19.849470 -1.836597 -1.176702 -0.948002 0.013540 1.284747 50.237977 270.812645 -6.449798 -2.275864 -4.989922 0.018627 0.127429 207.491560 119.684020 -1.001848 -1.075206 -2.753464 0.002800 0.730546 251.431585 43.555914 
rand_23 0.134188 -20.370087 -1.829875 -1.172283 -0.947996 0.011092 0.235098 262.095452 173.147592 -7.505456 -2.358229 -4.989916 0.001291 0.396750 192.837728 118.740618 -1.201996 -1.006353 -2.753437 0.020509 2.535343 290.802969 219.079851 
rand_24 0.146120 -19.509583 -1.998917 -1.291579 -0.947999 0.021520 1.783784 106.619952 211.513389 -7.185203 -2.547262 -4.989900 0.016962 0.230165 298.528570 44.493024 -1.445673 -1.007805 -2.753440 0.017020 0.175996 238.099347 142.128841 
