trial tidalearth/dViscRef tidalearth/dTMan tidalearth/dEruptEff tidalearth/dElecCondCore 
rand_0 991601.005583 2529.006696 0.189677 868276.388886 
rand_1 939689.126055 3003.877255 0.020407 3455717.757583 
rand_2 930808.909633 2616.952320 0.199091 3040412.453369 
rand_3 620487.702160 2962.102682 0.044997 2806694.570863 
rand_4 20803459.239066 2963.028321 0.081395 740370.812230 
rand_5 338484297.914061 2723.338361 0.141465 1460613.873946 
rand_6 123600671.493185 3243.628753 0.180311 3919571.754047 
rand_7 72638672.350377 3440.114813 0.195771 2462577.068176 
rand_8 440294036.625662 3307.913011 0.029396 3370519.126350 
rand_9 13983900.142925 2804.100091 0.141502 685405.364599 
